image,model,detections,inference_time_sec
image_01_jpg.rf.43d62b8fb86f63a77e002d38930f5b63.jpg,best.pt,1,0.1261
image_01_jpg.rf.47e83cf536be004f76e08f859b879e03.jpg,best.pt,1,0.0332
image_01_jpg.rf.c13dc4e79734744bd38f97463157f556.jpg,best.pt,1,0.0219
image_03_jpg.rf.481fe398bacb179cad1a6b2f5e27bde0.jpg,best.pt,1,0.0202
image_03_jpg.rf.9dafef7583487635c3cbff0ef17db4e1.jpg,best.pt,1,0.0194
image_03_jpg.rf.bd16b413d7514ec3fb138ff5c9644f04.jpg,best.pt,1,0.0198
image_04_jpg.rf.4b3994cdc5533993c571b9f98dab4edd.jpg,best.pt,1,0.0193
image_04_jpg.rf.ceda4d4bf84495bfdf3b697fb939436b.jpg,best.pt,1,0.0201
image_04_jpg.rf.f21e6d7cb67e905ee45a700a2d84628c.jpg,best.pt,1,0.0187
image_05_jpg.rf.6a173e6ca7ab9b4c041f1e85c084b641.jpg,best.pt,1,0.0205
image_05_jpg.rf.86c6d060c77e22b919a5c733e08a7313.jpg,best.pt,1,0.0215
image_05_jpg.rf.aded0948aae141863f991c69cd5c143d.jpg,best.pt,1,0.0282
image_06_jpg.rf.1ce7b13811746b8ad278b7320fec492d.jpg,best.pt,1,0.0247
image_06_jpg.rf.7323da54bfed02bd52fb717cceb292a3.jpg,best.pt,1,0.0204
image_06_jpg.rf.8974dec956b5168e6834ce0bc32bde65.jpg,best.pt,1,0.0191
image_07_jpg.rf.59143a47cfa47013ea9ba8ac00e22245.jpg,best.pt,1,0.0192
image_07_jpg.rf.5bf6bd8d97b755d2e4a9bde58d8b0da2.jpg,best.pt,1,0.0196
image_07_jpg.rf.a10f728c35de457ff76288f58c6a0050.jpg,best.pt,1,0.02
image_08_jpg.rf.16b6a67d9c7aa5c1215b2682ca72f1ba.jpg,best.pt,1,0.0227
image_08_jpg.rf.8f9c345c94bc76ba2916e0e6743f8758.jpg,best.pt,1,0.0198
image_08_jpg.rf.d37c6dee0e03d87f948c948edd480307.jpg,best.pt,1,0.0193
image_09_jpg.rf.5840d83fb94be678575f1806d3c941c4.jpg,best.pt,1,0.0209
image_09_jpg.rf.9ab1a30be32ebddab6a07b9b9a53e178.jpg,best.pt,1,0.0196
image_09_jpg.rf.ef9254c533b132d4f731f5d58bad5f61.jpg,best.pt,1,0.0195
image_100_jpg.rf.6aac21f0561c2823824fb3b3dfe663db.jpg,best.pt,1,0.0206
image_100_jpg.rf.9750af04424b1582c367b385e94a6628.jpg,best.pt,1,0.0197
image_100_jpg.rf.a6ba596141d0b77d62d24d9587d88a46.jpg,best.pt,1,0.0213
image_101_jpg.rf.488e9232bce4600e8bce1c246133ff7a.jpg,best.pt,1,0.0196
image_101_jpg.rf.4d87f72f145a6abfc6c374883c1919a6.jpg,best.pt,1,0.0194
image_101_jpg.rf.60f5114616378f4acf8f6fc02e12d6b0.jpg,best.pt,1,0.0202
image_102_jpg.rf.4ab2a92476be3453186eef04135b6972.jpg,best.pt,1,0.02
image_102_jpg.rf.52c9ef5fd237a04aae893610c39d6761.jpg,best.pt,1,0.027
