epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1417,1.36856,2.24693,2.31943,1,0.99837,0.995,0.8447,0.73932,0.87469,1.58614,0.00036,0.00036,0.00036
2,8.7048,0.78031,0.88999,1.76379,0.97949,1,0.995,0.85603,0.56796,1.43312,1.64611,0.000737558,0.000737558,0.000737558
3,12.2783,0.86145,0.82189,1.85359,0.99167,1,0.995,0.89258,0.64486,0.77316,1.64911,0.00111261,0.00111261,0.00111261
4,15.6672,0.8258,0.73795,1.81776,0.959,1,0.995,0.91292,0.41386,0.70782,2.15196,0.00148515,0.00148515,0.00148515
5,19.0999,0.83258,0.68737,1.89518,0.97383,1,0.995,0.995,0.27775,0.45394,2.33345,0.00185518,0.00185518,0.00185518
6,22.5384,0.75314,0.58399,1.75702,0.96514,1,0.995,0.98579,0.32952,0.48598,2.48922,0.001967,0.001967,0.001967
7,25.9075,0.73645,0.56921,1.68759,0.99481,1,0.995,0.82484,0.66008,0.57084,1.86296,0.0019604,0.0019604,0.0019604
8,29.3129,0.77982,0.58975,1.75611,0.99263,1,0.995,0.8715,0.60275,0.53043,1.91861,0.0019538,0.0019538,0.0019538
9,32.7371,0.73606,0.54824,1.7402,1,0.98138,0.995,0.92307,0.47676,0.66944,1.9023,0.0019472,0.0019472,0.0019472
10,36.1028,0.6856,0.50909,1.65852,0.99122,1,0.995,0.92411,0.4423,0.37953,1.73978,0.0019406,0.0019406,0.0019406
11,39.592,0.72132,0.51356,1.68642,0.99337,1,0.995,0.9808,0.26166,0.31879,1.76163,0.001934,0.001934,0.001934
12,43.1347,0.70421,0.51293,1.70623,0.99467,1,0.995,0.96767,0.31779,0.30239,1.67831,0.0019274,0.0019274,0.0019274
13,46.4973,0.71674,0.49221,1.70681,0.99364,1,0.995,0.90895,0.47816,0.41613,1.91774,0.0019208,0.0019208,0.0019208
14,49.9172,0.69771,0.4835,1.70727,0.9948,1,0.995,0.94439,0.37398,0.25443,1.69188,0.0019142,0.0019142,0.0019142
15,53.3555,0.67894,0.46965,1.72146,0.99508,1,0.995,0.995,0.22291,0.22567,1.69312,0.0019076,0.0019076,0.0019076
16,56.7407,0.64364,0.44575,1.64316,0.99437,1,0.995,0.97388,0.34808,0.3726,1.64965,0.001901,0.001901,0.001901
17,60.1946,0.65034,0.46487,1.67836,0.99455,1,0.995,0.94314,0.33704,0.22569,2.03183,0.0018944,0.0018944,0.0018944
18,63.6171,0.66517,0.47058,1.6643,0.99471,1,0.995,0.95483,0.33856,0.30079,1.63394,0.0018878,0.0018878,0.0018878
19,67.058,0.66756,0.4641,1.65712,0.99391,1,0.995,0.995,0.21033,0.20504,1.54798,0.0018812,0.0018812,0.0018812
20,70.5025,0.64859,0.4617,1.63867,0.99403,1,0.995,0.995,0.23108,0.23214,1.9181,0.0018746,0.0018746,0.0018746
21,74.1657,0.64836,0.4422,1.65099,0.99471,1,0.995,0.995,0.22921,0.23528,1.50377,0.001868,0.001868,0.001868
22,77.6339,0.66218,0.46372,1.66705,0.99467,1,0.995,0.9689,0.24826,0.24674,1.40167,0.0018614,0.0018614,0.0018614
23,81.1182,0.65274,0.48108,1.64472,0.99457,1,0.995,0.98012,0.24119,0.26758,1.45348,0.0018548,0.0018548,0.0018548
24,84.6032,0.65916,0.44499,1.70509,0.99469,1,0.995,0.98275,0.3136,0.28417,1.42172,0.0018482,0.0018482,0.0018482
25,88.0474,0.67703,0.45924,1.63906,0.99467,1,0.995,0.9465,0.40772,0.26721,1.48286,0.0018416,0.0018416,0.0018416
26,91.5584,0.66593,0.45547,1.66544,0.99448,1,0.995,0.98547,0.27252,0.26705,1.48863,0.001835,0.001835,0.001835
27,95.0806,0.68064,0.46998,1.71047,0.99407,1,0.995,0.95423,0.32249,0.2646,1.48916,0.0018284,0.0018284,0.0018284
28,98.5754,0.64642,0.44768,1.64246,0.99384,1,0.995,0.97742,0.28995,0.24872,1.56547,0.0018218,0.0018218,0.0018218
29,102.089,0.626,0.4307,1.65146,0.99304,1,0.995,0.98009,0.26961,0.241,1.49137,0.0018152,0.0018152,0.0018152
30,105.747,0.59845,0.40758,1.62056,0.99473,1,0.995,0.995,0.31574,0.28279,1.41687,0.0018086,0.0018086,0.0018086
31,109.317,0.60715,0.42564,1.59053,1,1,0.995,0.96474,0.26069,0.23704,1.46491,0.001802,0.001802,0.001802
32,112.883,0.59078,0.4146,1.57231,0.99479,1,0.995,0.995,0.18793,0.17765,1.60682,0.0017954,0.0017954,0.0017954
33,116.464,0.65163,0.43549,1.6302,0.9947,1,0.995,0.9745,0.30864,0.22921,1.43358,0.0017888,0.0017888,0.0017888
34,120.064,0.59931,0.4085,1.60669,1,1,0.995,0.995,0.20863,0.19517,1.46609,0.0017822,0.0017822,0.0017822
35,123.678,0.62196,0.4352,1.66391,0.99484,1,0.995,0.9885,0.3162,0.2388,1.47065,0.0017756,0.0017756,0.0017756
36,127.23,0.59545,0.3981,1.56337,0.99496,1,0.995,0.995,0.23132,0.23341,1.49539,0.001769,0.001769,0.001769
37,130.819,0.56574,0.40218,1.57708,0.99458,1,0.995,0.97497,0.2898,0.23509,1.50127,0.0017624,0.0017624,0.0017624
38,134.378,0.56492,0.4034,1.59587,0.9949,1,0.995,0.995,0.25007,0.21262,1.82823,0.0017558,0.0017558,0.0017558
39,138.052,0.52126,0.37596,1.50671,0.99481,1,0.995,0.995,0.2628,0.21592,1.54277,0.0017492,0.0017492,0.0017492
40,141.561,0.59698,0.40481,1.6129,0.99492,1,0.995,0.98881,0.28474,0.25309,1.41781,0.0017426,0.0017426,0.0017426
41,145.05,0.57249,0.40077,1.5684,0.99479,1,0.995,0.995,0.28503,0.28721,1.47274,0.001736,0.001736,0.001736
42,148.576,0.57431,0.38595,1.58356,0.9933,1,0.995,0.9819,0.21292,0.22172,1.56681,0.0017294,0.0017294,0.0017294
43,152.084,0.61103,0.42916,1.59862,0.99451,1,0.995,0.97914,0.20063,0.20143,1.35366,0.0017228,0.0017228,0.0017228
44,155.616,0.57845,0.40105,1.58711,0.99287,1,0.995,0.97742,0.3001,0.24575,2.03692,0.0017162,0.0017162,0.0017162
45,159.122,0.58536,0.40615,1.59367,0.99247,1,0.995,0.95945,0.24331,0.23776,1.37046,0.0017096,0.0017096,0.0017096
46,162.654,0.54609,0.37823,1.5795,0.99462,1,0.995,0.995,0.17946,0.17712,1.86757,0.001703,0.001703,0.001703
47,166.173,0.55896,0.38277,1.54918,0.9938,1,0.995,0.98713,0.26492,0.19829,1.62956,0.0016964,0.0016964,0.0016964
48,169.877,0.57971,0.3892,1.56319,0.99458,1,0.995,0.9686,0.2431,0.21652,1.53754,0.0016898,0.0016898,0.0016898
49,173.38,0.55805,0.395,1.55694,0.99423,1,0.995,0.98309,0.20292,0.20248,1.52478,0.0016832,0.0016832,0.0016832
50,176.893,0.55243,0.36644,1.49416,0.99388,1,0.995,0.97914,0.21052,0.2174,1.46929,0.0016766,0.0016766,0.0016766
51,180.397,0.5699,0.39571,1.62299,0.99473,1,0.995,0.995,0.21207,0.20746,1.60187,0.00167,0.00167,0.00167
52,183.981,0.54942,0.37448,1.60338,0.99493,1,0.995,0.995,0.15901,0.19466,1.34749,0.0016634,0.0016634,0.0016634
53,187.502,0.54101,0.37832,1.53929,1,1,0.995,0.995,0.19042,0.18716,1.58765,0.0016568,0.0016568,0.0016568
54,191.066,0.56578,0.37333,1.54804,1,1,0.995,0.995,0.20725,0.20388,1.43958,0.0016502,0.0016502,0.0016502
55,194.604,0.57268,0.39106,1.50089,1,1,0.995,0.995,0.23542,0.1902,1.42739,0.0016436,0.0016436,0.0016436
